Species;Mfla;Mtch;Mlav;Mway;Mmot;OTU#090;Mpav;Mmit;Malexi;Mlumi
M. flavus;0.09;-;-;-;-;-;-;-;-;-
M. tchoukouchipan;21.23;3.86;-;-;-;-;-;-;-;-
M lavellei;18.72;16.85;0.00;-;-;-;-;-;-;-
M. wayana;20.41;20.62;17.53;0.52;-;-;-;-;-;-
M. motoloi;20.17;19.62;17.62;12.97;0.12;-;-;-;-;-
M. OTU#090;20.84;20.12;16.55;16.75;15.70;0.00;-;-;-;-
M. pavliceki;20.03;21.20;17.83;20.04;19.19;20.32;0.05;-;-;-
M. mitaraka;21.39;20.67;19.91;21.51;20.29;21.71;19.44;3.71;-;-
M. alexi;19.63;21.23;19.41;19.50;19.73;20.72;20.12;20.09;0.00;-
M. luminescens;20.36;20.53;20.83;21.69;22.56;21.75;21.40;22.65;21.94;1.21
