Sample ID;COI-5P Seq. Length;OTU;Life Stage;Types;Genus;Species;Collectors;Collection Date;Country/Ocean;Sector;Exact Site;Exact Site 2;Lat;Lon;Elev;Habitat;Microhabitat;Sampling Protocol;Site Code;Collection Event ID;Microhabitat 2
EW-MI15-0363;658[0n];OTU#079;adult;Other;Andiorrhinus;Andiorrhinus pascalei;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest at base camp;2.23398;-54.4503;331;plateau forest;in the soil;Qualitative sampling in soil;MI15-Camp;Camp_SOIL;Soil
EW-MI15-0094;658[0n];OTU#079;juvenile;Other;Andiorrhinus;Andiorrhinus pascalei;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project D trail;2.216;-54.457;381;plateau forest;in the soil;Qualitative sampling in soil;MI15-0541;LayonD_PLA_SOIL;Soil
EW-MI15-0100;658[0n];OTU#079;juvenile;Other;Andiorrhinus;Andiorrhinus pascalei;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project D trail;2.216;-54.457;381;plateau forest;in the soil;Soil hand sorting (TSBF);MI15-0540;LayonD_PLA_TSBF3;Soil
EW-MI15-0174;658[0n];OTU#084;Adult;Holotype;Andiorrhinus;Andiorrhinus pascalei;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest at base camp;2.23398;-54.4503;331;plateau forest;in the soil;Qualitative sampling in soil;MI15-Camp;Camp_SOIL;Soil
EW-MI15-0176;658[0n];OTU#084;adult;Paratype;Andiorrhinus;Andiorrhinus pascalei;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest at base camp;2.23398;-54.4503;331;plateau forest;in the soil;Qualitative sampling in soil;MI15-Camp;Camp_SOIL;Soil
EW-MI15-0177;658[0n];OTU#084;juvenile;Other;Andiorrhinus;Andiorrhinus pascalei;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest at base camp;2.23398;-54.4503;331;plateau forest;in the soil;Qualitative sampling in soil;MI15-Camp;Camp_SOIL;Soil
EW-MI15-0271;658[0n];OTU#074;Adult;Holotype;Atatina;Atatina albida;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;slope forest on DIADEMA project D trail;2.228;-54.454;339;slope forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0552;LayonD_PEN_TRUNK;Trunks
EW-MI15-0052;624[0n];OTU#074;adult;Paratype;Atatina;Atatina albida;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;heliconia forest near plateau forest at base camp;2.23068;-54.4494;351;heliconia forest;in the soil;Qualitative sampling in soil;MI15-0582;Balisiers_SOIL;Soil
EW-MI15-0121;658[0n];OTU#074;adult;Paratype;Atatina;Atatina albida;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;transition forest # 2 Sommet en Cloche Inselberg;2.23309;-54.4596;395;inselberg transition forest;in the soil;Qualitative sampling in soil;MI15-FT3;Cloche_FT3_SOIL;Soil
EW-MI15-0122;621[0n];OTU#074;adult;Paratype;Atatina;Atatina albida;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;transition forest # 2 Sommet en Cloche Inselberg;2.23309;-54.4596;395;inselberg transition forest;in the soil;Qualitative sampling in soil;MI15-FT3;Cloche_FT3_SOIL;Soil
