Species;Pigmentation;Size;Clitellum;Tubercula pubertatis;Calciferous glands;Spermatheca;Testes
Andiorrhinus pascalei;Absent;158 to 196 mm;(dorsal XIII) XIV–XXI (dorsal XXII–XXIII);1/4 XV–3/4 XX;Three pairs in VII–IX, lemellar structure;Three pairs in VII–IX, very small spatula shaped;Two pairs of testes and funnels in X –XI
Martiodrilus flavus;Yellow to grey, clitellum pink;265 to 300 mm;(1/2 XIII) XIV–1/2 XXVI;XIX–XXV;Eight pairs in VII–XIV, tubular composite structure;Three pairs in VI–VIII, small elongated;Midventral or hypoesophagic in X–XI
Martiodrilus tchoukouchipan;Dorsally yellow brown, ventrally yellow;55 to 75 mm;(dorsal XIV) XV (XVI)–1/2 XXV;1/4 XX–1/3 XXV;Eight pairs in VII–XIV, tubular composite structure;Three pairs in VI–VIII, elongated;Periesophageal in X–XI, enclosing SV
Martiodrilus pavliceki;Dorsally yellow brown to brown, ventrally beige;95 mm;(dorsal XIV) XV–XXV (dorsal XXVI);XIX–1/n XXV;Eight pairs in VII–XIV, tubular composite structure;Three pairs in VII–IX, thin duct terminated by a round and flattened sac;Periesophageal in X–XI, enclosing SV, heart and CG
Martiodrilus lavellei;Dorsally light brown, ventrally beige;56 mm;(dorsal XV) XVI–XXV;1/4 XX–1/2 XXV;Eight pairs in VII–XIV, tubular composite structure;Three pairs in VI–VIII, ovoid elongated;Periesophageal in X–XI, enclosing SV, heart and CG
Martiodrilus mitaraka;Dorsally red brown, ventrally light brown;100 to 130 mm;(dorsal 1/2 XIII, XIV) XV (XVI)–XXV;(XIX) XX–(XXV) XXVI;Eight pairs in VII–XIV, tubular composite structure;Four pairs in V–VIII, elongated;Periesophageal in X–XI
Martiodrilus luminescens;Dorsal grey–brown, ventral light–brown;109 to 170 mm;(XIV) 1/2XV–XXVI;XXI–XXVII;Eight pairs in VII–XIV, tubular composite structure;Four pairs in VI–IX, elongated;Periesophageal in X–XI, sacs attacached in XIV/XV
Martiodrilus wayana;Dorsally dark brown, ventrally yellow;55 to 74 mm;(dorsal XIII, XIV) XV–(XXV) XXVI;XX–1/2XXVI;Eight pairs in VII–XIV, tubular composite structure;Three pairs in VI–VIII, spatula–shaped;Periesophageal in X–XI, enclosing SV
Martiodrilus terricophilous;Dorsally beige to brown, ventrally beige;170 to 225 mm;1/n XIV–XXV (1/3 XXVI);XX–XXVI;Eight pairs in VII–XIV, tubular composite structure;Four pairs in V–VIII, elongated;Periesophageal in X–XI, enclosing SV, heart and CG
Martiodrilus motoloi;Dorsally dark red brown, ventrally light brown;42 to 56 mm;(dorsal XIV) XV–1/2 XXVI;1/3 XX–1/2 XXV;Eight pairs in VII–XIV, tubular composite structure;Three pairs in VI–VIII, elongated ;Periesophageal in X–XI, enclosing SV, heart and CG
Urobenus guyanomeridionalis;Dorsally dark grey, ventrally beige to yellow;35 to 41 mm;XV–XXIV;1/4 XIX (1/2 XIX)–XXIII;Three pairs, tubular paniculated structure in VII–VIII and trabecular structure in IX;Three pairs in VII–IX, small elongated;Two pairs in X–XI
Atatina albida;Absent;25 to 41 mm;XV–XXIV;XVII–XXIV;Four pairs intestinal, intra-mural in IX–XII;Two pairs in VIII and IX;Midventral metandric in XI
